,FP-Nystrom|x,FP-Nystrom|y,FP-Nystrom|y_std,FP-RFF|x,FP-RFF|y,FP-RFF|y_std,Cir. LP-RFF 8|x,Cir. LP-RFF 8|y,Cir. LP-RFF 8|y_std,Cir. LP-RFF 4|x,Cir. LP-RFF 4|y,Cir. LP-RFF 4|y_std
0,1176435.3050141227,0.28712,0.062402745131925084,6486608.855947617,0.47244,0.009643515956330447,1787758.4994257332,0.32738,0.0553478238054578,1797539.2200991616,0.30392,0.04140222940857169
1,653143.706764809,0.20834999999999998,0.020989711765529315,3347886.3627471225,0.4184,0.031350007974480634,941208.8454636424,0.24567,0.01059035410172863,947564.0174226417,0.24584,0.01189774768601181
2,461064.6823273591,0.16863999999999998,0.003813056516759223,1868559.4152293324,0.32751,0.05056037381190927,318593.51995874674,0.19380000000000003,0.003253152317368517,321855.112872018,0.1946,0.00303430387403767
3,244269.45102684267,0.15228000000000003,0.003162530632262717,945577.2540096242,0.24584999999999999,0.006288720060552876,103329.95354078464,0.17285999999999999,0.002304647478466098,106577.59408522944,0.17323000000000002,0.002945946367468352
4,138711.19579470714,0.14405,0.002625452341978416,323281.16388293536,0.19605999999999998,0.005478813740217872,3479.944709781279,0.15894999999999998,0.0012676750372236645,6427.029827970784,0.15927999999999998,0.0016557777628655448
5,1063646.6813313211,,,103699.56532238217,0.17267,0.0022725756313047253,2056759.532982407,,,2067248.0845699082,,
6,679317.1736309764,,,3396.59147434168,0.16009,0.0020370076092150473,977422.7126698587,,,982061.5171449968,,
7,349850.24318203266,,,6709998.712170691,,,324948.031724319,,,328457.9846557864,,
8,220149.11096555152,,,3737633.6580610247,,,104970.24363064696,,,108173.54925885767,,
9,99998.98160517319,,,1957976.858579923,,,3379.1435651438883,,,6335.270245147167,,
10,1024294.5216447933,,,959744.1777568539,,,1918952.9364892996,,,1930362.4778226293,,
11,670442.4142565954,,,319071.2329545834,,,956740.320000062,,,963255.0703232985,,
12,397699.0296953792,,,103243.9757238522,,,325881.6844049608,,,328977.22823121643,,
13,339270.2046481185,,,3291.6057093621343,,,103388.4116936302,,,106792.53001540231,,
14,120099.44528531143,,,7416575.6878654575,,,3305.6799462869035,,,6372.725500515755,,
15,1011087.0138739822,,,3507816.0037833913,,,1786324.12492252,,,1796192.2165452163,,
16,858090.3061962432,,,1851877.6481957373,,,920994.7273676218,,,925573.683350438,,
17,462587.2810317751,,,938296.8100591587,,,315888.9672544724,,,319691.86649821885,,
18,330917.7294613957,,,326506.50219696044,,,103487.76524438793,,,106583.3042182131,,
19,89719.03477910967,,,102484.81340028821,,,3491.5923001533474,,,6423.122382356901,,
20,1062814.646637713,,,3287.780839305839,,,1796139.9029982863,,,1804706.478491836,,
21,808081.2608313584,,,6418727.617065858,,,929252.4738258128,,,933503.4144625957,,
22,410587.360734674,,,3501531.093698733,,,322649.9217086413,,,325204.8472828469,,
23,276768.3098840408,,,1966692.5860546806,,,104831.87880814973,,,107951.97630153157,,
24,157311.01594516626,,,942005.2477403434,,,3426.018163575927,,,6392.440387028954,,
25,,,,323318.99171843554,,,,,,,,
26,,,,103651.47778607706,,,,,,,,
27,,,,3445.3465358348944,,,,,,,,
28,,,,6920641.880216931,,,,,,,,
29,,,,3749585.4222073457,,,,,,,,
30,,,,2035403.745548408,,,,,,,,
31,,,,960183.4935621964,,,,,,,,
32,,,,325140.8452711923,,,,,,,,
33,,,,104085.76257228188,,,,,,,,
34,,,,3351.9662436788985,,,,,,,,
