,FP-Nystrom|x,FP-Nystrom|y,FP-Nystrom|y_std,FP-RFF|x,FP-RFF|y,FP-RFF|y_std,Cir. LP-RFF 8|x,Cir. LP-RFF 8|y,Cir. LP-RFF 8|y_std,Cir. LP-RFF 4|x,Cir. LP-RFF 4|y,Cir. LP-RFF 4|y_std
0,47018.19194340146,0.28712,0.062402745131925084,1998505.412697781,0.47244,0.009643515956330447,402035.0669104851,0.32738,0.0553478238054578,406419.4106121352,0.30392,0.04140222940857169
1,25268.367462755814,0.20834999999999998,0.020989711765529315,795889.691858834,0.4184,0.031350007974480634,199118.31572660786,0.24567,0.01059035410172863,201350.95641158425,0.24584,0.01189774768601181
2,12622.605185528886,0.16863999999999998,0.003813056516759223,399799.8941874575,0.32751,0.05056037381190927,79998.69914089402,0.19380000000000003,0.003253152317368517,80879.11059504148,0.1946,0.00303430387403767
3,5684.3811802075315,0.15228000000000003,0.003162530632262717,199945.1350128465,0.24584999999999999,0.006288720060552876,39986.11430920214,0.17285999999999999,0.002304647478466098,40432.14240651976,0.17323000000000002,0.002945946367468352
4,2307.249991051961,0.14405,0.002625452341978416,80116.16313547251,0.19605999999999998,0.005478813740217872,20034.105029507915,0.15894999999999998,0.0012676750372236645,20254.57703389265,0.15927999999999998,0.0016557777628655448
5,46536.76809343593,,,39974.311969989125,0.17267,0.0022725756313047253,401885.6394552389,,,406294.1382740674,,
6,24692.006552396953,,,20029.005906187365,0.16009,0.0020370076092150473,199476.0850462846,,,201697.44445329177,,
7,12091.476207730577,,,1994523.8801988168,,,80195.64284868925,,,81087.27412893673,,
8,5464.276170886955,,,798554.3082167722,,,40125.35025443709,,,40566.121949217646,,
9,2223.0697731691507,,,400612.88105063303,,,20228.25238805842,,,20450.482569375203,,
10,47838.8356044969,,,200650.27826436894,,,398974.2921117715,,,403394.7231941046,,
11,25608.00335706467,,,79976.92809115071,,,199727.04117195163,,,201968.2026046425,,
12,12378.21192774548,,,39913.73423000937,,,79566.41396933675,,,80455.08478018953,,
13,5518.527079620547,,,20001.228082046895,,,39892.48437853711,,,40331.89060040257,,
14,2290.487113640788,,,2001369.171786677,,,20021.275466491035,,,20244.15302552248,,
15,46784.718589148,,,798255.3555086505,,,402216.01557887637,,,406618.5475896994,,
16,25397.70315390448,,,398037.95492602314,,,202066.34316327126,,,204293.65096245531,,
17,12882.03175391996,,,199995.15356037178,,,80696.3149779584,,,81581.83658307402,,
18,5602.1818837414185,,,79651.39118048458,,,39999.95099446539,,,40440.080118337886,,
19,2314.4295713594415,,,40087.27172028202,,,20247.34916870013,,,20470.188095762987,,
20,45830.23549135119,,,20008.64680455862,,,402006.62748194207,,,406381.71944755386,,
21,25293.928785211,,,1995453.1913962606,,,199313.04631291138,,,201512.848034114,,
22,12539.77473087646,,,798396.1392194493,,,79837.72944704875,,,80727.05598906822,,
23,5475.313805785964,,,402637.6562276192,,,40072.58761275983,,,40511.75669927142,,
24,2266.1022071478706,,,200390.898549904,,,19939.750745521207,,,20160.21865247838,,
25,,,,79891.91282463759,,,,,,,,
26,,,,39911.03617225931,,,,,,,,
27,,,,19947.00841972963,,,,,,,,
28,,,,2007568.2773069134,,,,,,,,
29,,,,800660.9360634261,,,,,,,,
30,,,,401234.8206550897,,,,,,,,
31,,,,200276.72364321596,,,,,,,,
32,,,,79863.55469107798,,,,,,,,
33,,,,39836.082768758926,,,,,,,,
34,,,,19928.33075755542,,,,,,,,
